Date,SettlementPoint,Price
2016-10,HB_BUSAVG,25.20483870967742
2016-10,HB_HOUSTON,28.2495564516129
2016-10,HB_HUBAVG,25.769059139784947
2016-10,HB_NORTH,24.005255376344085
2016-10,HB_SOUTH,26.689663978494625
2016-10,HB_WEST,24.11393817204301
2016-10,LZ_AEN,25.62290322580645
2016-10,LZ_CPS,26.250295698924734
2016-10,LZ_HOUSTON,28.54581989247312
2016-10,LZ_LCRA,26.068440860215055
2016-10,LZ_NORTH,24.53266129032258
2016-10,LZ_RAYBN,24.452513440860212
2016-10,LZ_SOUTH,30.03103494623656
2016-10,LZ_WEST,25.182258064516127
2016-11,HB_BUSAVG,19.244902777777778
2016-11,HB_HOUSTON,20.365930555555554
2016-11,HB_HUBAVG,19.489305555555553
2016-11,HB_NORTH,18.66488888888889
